PLAYER,PLAY TYPE,MADE,SHOT TYPE,VTM,HTM,GAME DATE,PERIOD,TIME REMAINING,SHOT DISTANCE (FT)
Andre Iguodala,Turnaround Fadeaway shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,2,9:03,13
Andre Iguodala,Alley Oop Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,2,6:10,0
Andre Iguodala,Cutting Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,2,4:36,0
Andre Iguodala,Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,2,3:02,2
Andre Iguodala,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,2,0:11,29
Andre Iguodala,Layup Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,1:26,5
Andre Iguodala,Running Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,4,10:10,1
Andre Iguodala,Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,3:08,24
Andre Iguodala,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,1:39,24
Andre Iguodala,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,1:18,23
Andre Iguodala,Tip Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,2,10:24,0
Andre Iguodala,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,2,3:53,28
Andre Iguodala,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,3,1:35,22
Andre Iguodala,Jump Shot,Made Shot,3PT Field Goal,GSW,LAC,4/18/2019,1,1:07,24
Andre Iguodala,Jump Shot,Made Shot,3PT Field Goal,GSW,LAC,4/18/2019,2,10:32,24
Andre Iguodala,Running Dunk Shot,Made Shot,2PT Field Goal,GSW,LAC,4/18/2019,3,7:10,1
Andre Iguodala,Jump Shot,Made Shot,3PT Field Goal,GSW,LAC,4/18/2019,3,6:36,22
Andre Iguodala,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/18/2019,3,4:07,23
Andre Iguodala,Cutting Dunk Shot,Made Shot,2PT Field Goal,GSW,LAC,4/18/2019,3,3:20,0
Andre Iguodala,Jump Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,1,3:35,15
Andre Iguodala,Pullup Jump shot,Made Shot,3PT Field Goal,GSW,LAC,4/21/2019,2,11:28,25
Andre Iguodala,Jump Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,2,8:47,19
