PLAYER,PLAY TYPE,MADE,SHOT TYPE,VTM,HTM,GAME DATE,PERIOD,TIME REMAINING,SHOT DISTANCE (FT),
Danny Green,Pullup Jump shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,10:37,26,
Danny Green,Running Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,9:27,22,
Danny Green,Running Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,6:04,26,
Danny Green,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,2:04,22,
Danny Green,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,0:01,26,
Danny Green,Step Back Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,4:56,21,
Danny Green,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,3,2:34,25,
Danny Green,Driving Hook Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,1:24,1,
Danny Green,Pullup Jump shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,3,1:03,24,
Danny Green,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,2,5:49,23,
Danny Green,Step Back Jump shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,3,7:32,25,
Danny Green,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,3,4:45,23,
Danny Green,Driving Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,3:08,1,
Danny Green,Floating Jump shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,1,11:40,13,
Danny Green,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/19/2019,1,7:27,25,
Danny Green,Jump Shot,Made Shot,3PT Field Goal,TOR,ORL,4/19/2019,1,6:12,22,
Danny Green,Pullup Jump shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,3,11:13,13,
Danny Green,Jump Shot,Made Shot,3PT Field Goal,TOR,ORL,4/19/2019,3,8:23,25,
Danny Green,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/19/2019,3,6:59,23,
Danny Green,Jump Shot,Made Shot,3PT Field Goal,TOR,ORL,4/19/2019,3,5:23,23,
