PLAYER,PLAY_TYPE,MADE,SHOT TYPE,VTM,HTM,GAME_DATE,PERIOD,TIME_REMAINING,SHOT_DISTANCE (FT)
Draymond Green,Cutting Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,1,8:45,1
Draymond Green,Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,1,7:53,3
Draymond Green,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,1,4:37,28
Draymond Green,Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,1,2:12,27
Draymond Green,Running Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,1,1:07,1
Draymond Green,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,2,5:13,12
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,3,11:44,22
Draymond Green,Pullup Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,2:51,16
Draymond Green,Layup Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,2:02,2
Draymond Green,Putback Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,1:59,3
Draymond Green,Cutting Layup Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,4,5:45,3
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,4,3:30,27
Draymond Green,Running Layup Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,1,9:40,2
Draymond Green,Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,1,9:05,1
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,7:51,27
Draymond Green,Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,1,6:55,1
Draymond Green,Floating Jump shot,Missed Shot,2PT Field Goal,LAC,GSW,4/15/2019,1,1:12,12
Draymond Green,Floating Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,3,11:17,9
Draymond Green,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/15/2019,3,8:46,27
Draymond Green,Floating Jump shot,Missed Shot,2PT Field Goal,LAC,GSW,4/15/2019,3,3:04,16
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,3,1:53,26
Draymond Green,Cutting Dunk Shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,4,4:22,0
Draymond Green,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/18/2019,1,0:35,8
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/18/2019,1,0:00,77
Draymond Green,Running Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/18/2019,2,2:29,1
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/18/2019,2,0:22,25
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/18/2019,3,11:17,24
Draymond Green,Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/18/2019,3,9:43,1
Draymond Green,Cutting Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/18/2019,3,6:07,1
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/18/2019,3,5:05,22
Draymond Green,Cutting Dunk Shot,Made Shot,2PT Field Goal,GSW,LAC,4/18/2019,3,3:37,0
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/18/2019,3,0:00,24
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,1,11:36,25
Draymond Green,Running Dunk Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,1,9:03,1
Draymond Green,Floating Jump shot,Made Shot,2PT Field Goal,GSW,LAC,4/21/2019,1,3:15,8
Draymond Green,Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/21/2019,3,10:50,2
Draymond Green,Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/21/2019,3,8:47,2
Draymond Green,Tip Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,3,8:07,0
Draymond Green,Tip Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,3,8:06,0
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,3,0:48,25
Draymond Green,Pullup Jump shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,3,0:02,6
Draymond Green,Cutting Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,4,3:53,1
Draymond Green,Tip Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/21/2019,4,3:50,0
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/24/2019,1,11:37,26
Draymond Green,Turnaround Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,2,4:33,14
Draymond Green,Driving Floating Bank Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,2,1:40,10
Draymond Green,Turnaround Hook Shot,Made Shot,2PT Field Goal,LAC,GSW,4/24/2019,3,3:38,10
Draymond Green,Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/24/2019,3,3:08,2
Draymond Green,Running Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/24/2019,3,0:34,26
Draymond Green,Driving Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/24/2019,4,6:55,3
Draymond Green,Tip Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,11:44,0
Draymond Green,Tip Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,11:43,0
Draymond Green,Hook Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,10:41,6
Draymond Green,Tip Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,9:58,0
Draymond Green,Tip Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,9:52,0
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/26/2019,1,7:20,27
Draymond Green,Driving Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,1:30,2
Draymond Green,Driving Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,0:29,0
Draymond Green,Driving Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,2,4:45,1
Draymond Green,Finger Roll Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,2,4:16,1
Draymond Green,Driving Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,2,1:37,1
Draymond Green,Jump Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,3,11:20,13
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/26/2019,3,8:38,24
Draymond Green,Cutting Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,4,4:22,1
Draymond Green,Cutting Layup Shot,Made Shot,2PT Field Goal,HOU,GSW,4/28/2019,1,11:47,2
Draymond Green,Turnaround Fadeaway shot,Made Shot,2PT Field Goal,HOU,GSW,4/28/2019,1,11:11,11
Draymond Green,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,HOU,GSW,4/28/2019,1,9:59,11
Draymond Green,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,HOU,GSW,4/28/2019,1,7:21,6
Draymond Green,Running Layup Shot,Made Shot,2PT Field Goal,HOU,GSW,4/28/2019,1,6:13,3
Draymond Green,Jump Shot,Made Shot,2PT Field Goal,HOU,GSW,4/28/2019,2,6:28,11
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,HOU,GSW,4/28/2019,3,11:01,28
Draymond Green,Driving Layup Shot,Made Shot,2PT Field Goal,HOU,GSW,4/28/2019,3,6:57,11
Draymond Green,Cutting Layup Shot,Made Shot,2PT Field Goal,HOU,GSW,4/28/2019,3,4:12,2
Draymond Green,Tip Layup Shot,Made Shot,2PT Field Goal,HOU,GSW,4/30/2019,1,8:35,0
Draymond Green,Driving Hook Shot,Made Shot,2PT Field Goal,HOU,GSW,4/30/2019,1,4:32,6
Draymond Green,Tip Layup Shot,Missed Shot,2PT Field Goal,HOU,GSW,4/30/2019,1,4:02,0
Draymond Green,Tip Layup Shot,Made Shot,2PT Field Goal,HOU,GSW,4/30/2019,1,4:01,0
Draymond Green,Jump Shot,Missed Shot,3PT Field Goal,HOU,GSW,4/30/2019,1,3:38,25
Draymond Green,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,HOU,GSW,4/30/2019,2,4:58,6
