PLAYER,PLAY TYPE,MADE,SHOT TYPE,VTM,HTM,GAME DATE,PERIOD,TIME REMAINING,SHOT DISTANCE (FT)
Fred VanVleet,Pullup Jump shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,2:29,29
Fred VanVleet,Pullup Jump shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,1:54,29
Fred VanVleet,Driving Floating Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,0:00,26
Fred VanVleet,Running Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,8:20,25
Fred VanVleet,Driving Hook Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,7:36,2
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,4,11:36,25
Fred VanVleet,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,4,9:28,24
Fred VanVleet,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,4,8:50,5
Fred VanVleet,Running Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,4,7:34,0
Fred VanVleet,Pullup Jump shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,1,0:36,29
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,1,0:02,25
Fred VanVleet,Step Back Jump shot,Missed Shot,2PT Field Goal,ORL,TOR,4/16/2019,4,11:00,23
Fred VanVleet,Pullup Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,4,7:48,18
Fred VanVleet,Pullup Jump shot,Missed Shot,2PT Field Goal,ORL,TOR,4/16/2019,4,7:03,18
Fred VanVleet,Pullup Jump shot,Made Shot,2PT Field Goal,TOR,ORL,4/19/2019,1,2:52,19
Fred VanVleet,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,ORL,4/19/2019,1,0:48,25
Fred VanVleet,Driving Hook Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,2,9:22,3
Fred VanVleet,Pullup Jump shot,Made Shot,2PT Field Goal,TOR,ORL,4/19/2019,2,7:26,17
Fred VanVleet,Running Layup Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,2,4:53,3
Fred VanVleet,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,ORL,4/19/2019,3,0:34,25
Fred VanVleet,Driving Reverse Layup Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,3,0:00,2
Fred VanVleet,Jump Shot,Made Shot,3PT Field Goal,TOR,ORL,4/21/2019,1,1:30,27
Fred VanVleet,Step Back Jump shot,Missed Shot,2PT Field Goal,TOR,ORL,4/21/2019,2,7:11,20
Fred VanVleet,Driving Reverse Layup Shot,Made Shot,2PT Field Goal,TOR,ORL,4/21/2019,2,5:44,2
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/21/2019,3,2:11,27
Fred VanVleet,Driving Layup Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/21/2019,4,11:01,2
Fred VanVleet,Driving Finger Roll Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/23/2019,1,1:30,2
Fred VanVleet,Driving Reverse Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/23/2019,1,1:09,2
Fred VanVleet,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/23/2019,2,10:02,29
Fred VanVleet,Running Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/23/2019,2,9:41,2
Fred VanVleet,Driving Floating Bank Jump Shot,Made Shot,2PT Field Goal,ORL,TOR,4/23/2019,2,8:42,2
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/23/2019,2,1:48,25
Fred VanVleet,Pullup Jump shot,Missed Shot,3PT Field Goal,ORL,TOR,4/23/2019,3,0:02,24
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/23/2019,4,7:52,25
Fred VanVleet,Pullup Jump shot,Made Shot,2PT Field Goal,PHI,TOR,4/27/2019,4,11:46,17
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/27/2019,4,9:59,25
Fred VanVleet,Pullup Jump shot,Missed Shot,3PT Field Goal,PHI,TOR,4/29/2019,1,0:00,26
Fred VanVleet,Pullup Jump shot,Missed Shot,2PT Field Goal,PHI,TOR,4/29/2019,4,10:33,18
Fred VanVleet,Running Layup Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,1,1:07,2
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,2,10:57,28
Fred VanVleet,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,2,7:10,25
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,2,6:15,27
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,4,7:01,25
Fred VanVleet,Pullup Jump shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,4,2:24,16
Fred VanVleet,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,4,1:28,28
Fred VanVleet,Step Back Jump shot,Missed Shot,2PT Field Goal,TOR,PHI,5/5/2019,1,0:40,17
