PLAYER,PLAY_TYPE,MADE,SHOT_TYPE,VTM,HTM,GAME DATE,PERIOD,TIME_REMAINING,SHOT_DISTANCE (FT)
Kawhi Leonard,Fadeaway Jump Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,11:47,8
Kawhi Leonard,Pullup Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,10:10,16
Kawhi Leonard,Pullup Jump shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,8:47,26
Kawhi Leonard,Driving Dunk Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,5:39,1
Kawhi Leonard,Pullup Jump shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,6:31,8
Kawhi Leonard,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,4:34,9
Kawhi Leonard,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,4:22,2
Kawhi Leonard,Putback Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,4:19,1
Kawhi Leonard,Reverse Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,3:11,2
Kawhi Leonard,Pullup Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,10:44,19
Kawhi Leonard,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,3,8:49,24
Kawhi Leonard,Reverse Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,4:10,1
Kawhi Leonard,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,3,2:08,25
Kawhi Leonard,Pullup Jump shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,4,5:19,12
Kawhi Leonard,Turnaround Fadeaway shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,4,4:36,7
Kawhi Leonard,Step Back Jump shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,4,1:35,27
Kawhi Leonard,Fadeaway Jump Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,4,1:02,12
Kawhi Leonard,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,4,0:01,26
Kawhi Leonard,Pullup Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,1,11:47,15
Kawhi Leonard,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,1,10:08,27
Kawhi Leonard,Pullup Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,1,9:07,8
Kawhi Leonard,Running Pull-Up Jump Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,1,7:43,9
Kawhi Leonard,Pullup Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,1,5:51,12
Kawhi Leonard,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,1,5:09,23
Kawhi Leonard,Pullup Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,1,3:03,17
Kawhi Leonard,Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,2,8:28,1
Kawhi Leonard,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/16/2019,2,4:47,22
Kawhi Leonard,Pullup Jump shot,Made Shot,3PT Field Goal,ORL,TOR,4/16/2019,3,11:29,25
Kawhi Leonard,Pullup Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,9:46,14
Kawhi Leonard,Alley Oop Layup shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,9:12,1
Kawhi Leonard,Driving Dunk Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,8:04,0
Kawhi Leonard,Driving Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,5:36,1
Kawhi Leonard,Running Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,5:23,0
