PLAYER,PLAY_TYPE,MADE,SHOT_TYPE,VTM,HTM,GAME_DATE,PERIOD,TIME_REMAINING,SHOT_DISTANCE (FT)
Klay Thompson,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,1,9:37,27
Klay Thompson,Jump Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,1,5:56,8
Klay Thompson,Step Back Jump shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,10:27,22
Klay Thompson,Step Back Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,9:51,13
Klay Thompson,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,3,9:07,23
Klay Thompson,Pullup Jump shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,8:37,18
Klay Thompson,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,7:25,20
Klay Thompson,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,3,7:03,12
Klay Thompson,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,3,5:54,26
Klay Thompson,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,4,11:20,25
Klay Thompson,Jump Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,4,10:37,16
Klay Thompson,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,4,4:25,27
Klay Thompson,Pullup Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,4,2:48,21
Klay Thompson,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,4,2:08,26
Klay Thompson,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,6:36,27
Klay Thompson,Running Reverse Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,1,6:12,1
Klay Thompson,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/15/2019,1,5:39,13
Klay Thompson,Pullup Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,2,11:44,17
Klay Thompson,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/15/2019,2,9:09,27
Klay Thompson,Running Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,2,6:54,1
Klay Thompson,Step Back Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,3,11:47,10
Klay Thompson,Fadeaway Jump Shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,3,9:13,12
Klay Thompson,Pullup Jump shot,Missed Shot,2PT Field Goal,LAC,GSW,4/15/2019,3,5:53,11
Klay Thompson,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,4,0:33,29
Klay Thompson,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,4,0:03,26
Klay Thompson,Step Back Jump shot,Missed Shot,2PT Field Goal,GSW,LAC,4/18/2019,1,9:02,11
Klay Thompson,Fadeaway Jump Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/18/2019,1,7:35,9
Klay Thompson,Reverse Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/18/2019,2,10:59,1
