PLAYER,PLAY TYPE,MADE,SHOT TYPE,VTM,HTM,GAME DATE,PERIOD,TIME REMAINING,SHOT DISTANCE (FT)
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,9:43,26
Marc Gasol,Floating Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,8:19,3
Marc Gasol,Jump Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,6:20,20
Marc Gasol,Turnaround Fadeaway shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,3:15,11
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,5:08,23
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,0:30,25
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/13/2019,3,8:19,25
Marc Gasol,Reverse Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,4,2:58,0
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,4,0:27,22
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/16/2019,3,10:55,24
Marc Gasol,Driving Hook Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,10:29,4
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,3,10:11,25
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/16/2019,3,6:55,24
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/16/2019,3,4:37,24
Marc Gasol,Driving Floating Jump Shot,Made Shot,2PT Field Goal,TOR,ORL,4/19/2019,1,10:43,13
Marc Gasol,Jump Shot,Made Shot,2PT Field Goal,TOR,ORL,4/19/2019,2,2:46,15
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,TOR,ORL,4/19/2019,2,1:19,25
Marc Gasol,Driving Layup Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,2,0:39,3
Marc Gasol,Jump Shot,Made Shot,2PT Field Goal,TOR,ORL,4/19/2019,3,9:55,16
Marc Gasol,Jump Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,4,5:16,12
Marc Gasol,Driving Layup Shot,Made Shot,2PT Field Goal,TOR,ORL,4/21/2019,1,9:10,2
Marc Gasol,Jump Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/21/2019,3,10:25,22
Marc Gasol,Hook Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/21/2019,3,7:34,5
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/23/2019,1,8:44,25
Marc Gasol,Floating Jump shot,Made Shot,2PT Field Goal,ORL,TOR,4/23/2019,1,7:12,9
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/23/2019,1,3:45,26
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/23/2019,2,3:00,23
Marc Gasol,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/23/2019,3,3:28,10
Marc Gasol,Jump Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/27/2019,1,10:09,17
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,4/27/2019,2,7:19,26
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/27/2019,2,4:33,25
Marc Gasol,Jump Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/27/2019,2,2:58,19
Marc Gasol,Cutting Dunk Shot,Made Shot,2PT Field Goal,PHI,TOR,4/27/2019,2,1:09,0
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,4/27/2019,3,7:50,27
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/27/2019,3,5:37,28
Marc Gasol,Jump Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/27/2019,3,3:58,20
Marc Gasol,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/29/2019,1,11:33,10
Marc Gasol,Turnaround Fadeaway shot,Missed Shot,2PT Field Goal,PHI,TOR,4/29/2019,1,9:21,5
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/29/2019,1,8:32,24
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/29/2019,2,1:19,23
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/29/2019,3,11:35,27
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,4/29/2019,3,3:41,25
Marc Gasol,Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,1,10:59,16
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,2,9:58,23
Marc Gasol,Turnaround Fadeaway shot,Made Shot,2PT Field Goal,TOR,PHI,5/2/2019,2,9:24,9
Marc Gasol,Turnaround Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,3,11:09,2
Marc Gasol,Driving Hook Shot,Made Shot,2PT Field Goal,TOR,PHI,5/2/2019,3,7:07,8
Marc Gasol,Turnaround Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,3,5:33,3
Marc Gasol,Jump Shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,1,9:30,10
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,1,4:40,25
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,1,0:01,25
Marc Gasol,Floating Jump shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,2,10:27,10
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,TOR,PHI,5/5/2019,2,9:53,25
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,2,0:47,25
Marc Gasol,Floating Jump shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,3,10:39,14
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,3,7:57,25
Marc Gasol,Cutting Dunk Shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,3,1:26,3
Marc Gasol,Jump Shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,4,10:16,12
Marc Gasol,Turnaround Hook Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/5/2019,4,7:22,7
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,TOR,PHI,5/5/2019,4,7:09,26
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,4,5:07,26
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/7/2019,1,7:33,25
Marc Gasol,Turnaround Fadeaway shot,Made Shot,2PT Field Goal,PHI,TOR,5/7/2019,2,11:26,12
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,5/7/2019,2,9:30,26
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/7/2019,2,8:31,25
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,5/7/2019,3,1:29,25
Marc Gasol,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,5/7/2019,4,10:02,26
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/9/2019,1,6:47,25
Marc Gasol,Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/9/2019,1,5:58,21
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/9/2019,2,2:27,25
Marc Gasol,Turnaround Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/9/2019,3,10:55,3
Marc Gasol,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/9/2019,3,5:05,26
