PLAYER,PLAY_TYPE,MADE,SHOT_TYPE,VTM,HTM,GAME_DATE,PERIOD,TIME_REMAINING,SHOT_DISTANCE (FT)
Pascal Siakam,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,10:55,2
Pascal Siakam,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,9:13,2
Pascal Siakam,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,7:17,23
Pascal Siakam,Driving Bank Hook Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,5:12,2
Pascal Siakam,Driving Dunk Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,1,0:46,2
Pascal Siakam,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,10:50,22
Pascal Siakam,Turnaround Hook Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,7:09,3
Pascal Siakam,Driving Floating Jump Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,3:46,8
Pascal Siakam,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,2:35,25
Pascal Siakam,Turnaround Fadeaway Bank Jump Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,2,0:53,8
Pascal Siakam,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,11:19,3
Pascal Siakam,Alley Oop Layup shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,10:59,1
Pascal Siakam,Turnaround Jump Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,9:39,2
Pascal Siakam,Reverse Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,9:12,0
Pascal Siakam,Running Dunk Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,6:38,0
Pascal Siakam,Putback Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,6:05,1
Pascal Siakam,Driving Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,5:36,0
