PLAYER,PLAY_TYPE,MADE,SHOT_TYPE,VTM,HTM,GAME_DATE,PERIOD,SHOT_DISTANCE (FT)
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,1,26
Stephen Curry,Driving Layup Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/13/2019,1,3
Stephen Curry,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,1,29
Stephen Curry,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,1,25
Stephen Curry,Pullup Jump shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,1,55
Stephen Curry,Pullup Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,2,19
Stephen Curry,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,2,26
Stephen Curry,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,2,26
Stephen Curry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,2,3
Stephen Curry,Step Back Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,3,27
Stephen Curry,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,3,30
Stephen Curry,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,4,25
Stephen Curry,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/13/2019,4,27
Stephen Curry,Pullup Jump shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,4,27
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/13/2019,4,26
Stephen Curry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/13/2019,4,10
Stephen Curry,Pullup Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,1,19
Stephen Curry,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,25
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,30
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,25
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,1,22
Stephen Curry,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/15/2019,2,26
Stephen Curry,Step Back Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/15/2019,2,22
Stephen Curry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,2,2
Stephen Curry,Fadeaway Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/15/2019,2,25
Stephen Curry,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/15/2019,4,8
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,4,32
Stephen Curry,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/15/2019,4,20
Stephen Curry,Step Back Jump shot,Made Shot,2PT Field Goal,LAC,GSW,4/15/2019,4,20
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,4,26
Stephen Curry,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/15/2019,4,16
Stephen Curry,Layup Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/15/2019,4,4
Stephen Curry,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/15/2019,4,25
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/15/2019,4,26
Stephen Curry,Pullup Jump shot,Missed Shot,2PT Field Goal,GSW,LAC,4/18/2019,1,17
Stephen Curry,Jump Shot,Made Shot,3PT Field Goal,GSW,LAC,4/18/2019,1,25
Stephen Curry,Driving Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/18/2019,1,1
Stephen Curry,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,GSW,LAC,4/18/2019,1,28
Stephen Curry,Driving Floating Jump Shot,Made Shot,2PT Field Goal,GSW,LAC,4/18/2019,1,7
Stephen Curry,Step Back Jump shot,Made Shot,3PT Field Goal,GSW,LAC,4/18/2019,1,26
Stephen Curry,Jump Shot,Made Shot,2PT Field Goal,GSW,LAC,4/18/2019,2,19
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/18/2019,3,24
Stephen Curry,Jump Shot,Made Shot,3PT Field Goal,GSW,LAC,4/18/2019,3,22
Stephen Curry,Floating Jump shot,Made Shot,2PT Field Goal,GSW,LAC,4/18/2019,3,10
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/18/2019,4,22
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,1,25
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,1,27
Stephen Curry,Pullup Jump shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,2,26
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,2,26
Stephen Curry,Driving Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/21/2019,2,0
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,2,26
Stephen Curry,Step Back Jump shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,2,20
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,3,24
Stephen Curry,Pullup Jump shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,3,26
Stephen Curry,Step Back Jump shot,Made Shot,3PT Field Goal,GSW,LAC,4/21/2019,3,25
Stephen Curry,Step Back Jump shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,3,19
Stephen Curry,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/21/2019,4,6
Stephen Curry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/21/2019,4,1
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/21/2019,4,23
Stephen Curry,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,1,19
Stephen Curry,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/24/2019,1,25
Stephen Curry,Driving Floating Bank Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,1,12
Stephen Curry,Fadeaway Jump Shot,Made Shot,2PT Field Goal,LAC,GSW,4/24/2019,1,13
Stephen Curry,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,2,21
Stephen Curry,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,2,22
Stephen Curry,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,3,17
Stephen Curry,Cutting Finger Roll Layup Shot,Made Shot,2PT Field Goal,LAC,GSW,4/24/2019,3,7
Stephen Curry,Step Back Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/24/2019,3,25
Stephen Curry,Pullup Jump shot,Made Shot,3PT Field Goal,LAC,GSW,4/24/2019,3,24
Stephen Curry,Jump Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,3,22
Stephen Curry,Driving Finger Roll Layup Shot,Missed Shot,2PT Field Goal,LAC,GSW,4/24/2019,4,9
Stephen Curry,Driving Floating Bank Jump Shot,Made Shot,2PT Field Goal,LAC,GSW,4/24/2019,4,12
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,LAC,GSW,4/24/2019,4,33
Stephen Curry,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,LAC,GSW,4/24/2019,4,32
Stephen Curry,Jump Shot,Missed Shot,3PT Field Goal,GSW,LAC,4/26/2019,1,25
Stephen Curry,Driving Layup Shot,Missed Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,1
Stephen Curry,Driving Layup Shot,Made Shot,2PT Field Goal,GSW,LAC,4/26/2019,1,0
